instance,time_taken,optimal_cost,global_optimal_solution,rl_actions,rl_gap,rl_permutation,sa_gap,sa_permutation,bb_gap,bb_permutation,gurobi_gap,gurobi_permutation
cqap_60_7,147,1683302,"[ 6 10 34 56  8 44 59 49 28 21 50 53  5 37 32 33  4  3 40 48 26 54  1 29
 30 41  0 25 55 35 46 14 22 17 11 43  7 31 58  2 52 51  9 19 42 16 27 13
 36 57 47 39 38 24 45 15 23 20 12 18]","['START', '2O', 'FW', 'OC', 'SA', 'FW_LSG']",0.0,"[ 6 10 34 56  8 44 59 49 28 21 50 53  5 37 32 33  4  3 40 48 26 54  1 29
 30 41  0 25 55 35 46 14 22 17 11 43  7 31 58  2 52 51  9 19 42 16 27 13
 36 57 47 39 38 24 45 15 23 20 12 18]",3286674.0,"[53  0 39 29 14  7 44 37 22 56 26  3 31 54  2 46 15 17 57 13 24 40 20 38
 59 27 30 10 28 34 47 49  9 52 16  6 48 41 21 11 12 35 43  4 50 23 51 18
 55 25 36  8 45  5 33  1 19 58 42 32]",4188998.0,"[59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36
 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12
 11 10  6  0  2  9  3  5  4  8  7  1]",4698486.0,"[16  0 22 23 26 57 53  7 11  2 51 20  6 46 43  1 56 33 24 29 30 28 12 40
 42 54 32 18 36 35 45 19 39  8 55  3 48 34 21 13  9 47 10 27 17 31 14 37
 41  5 15  4 59 52 44 38 25 49 50 58]"
cqap_60_22,145,1759946,"[31 48  4 41 44 49 36 42 35 30 23  5 19 56 29 16  2 32  7 34 17 24 27 57
  8 25 54 20 15 51 39 37 18 55  0 46 43 10 47  9 52 22 28 13 14 12 58 21
  6  3 59 53 38 33 26 40  1 45 50 11]","['START', 'FW_LSG', 'OC', 'SA', 'FW_LS']",0.0,"[31 48  4 41 44 49 36 42 35 30 23  5 19 56 29 16  2 32  7 34 17 24 27 57
  8 25 54 20 15 51 39 37 18 55  0 46 43 10 47  9 52 22 28 13 14 12 58 21
  6  3 59 53 38 33 26 40  1 45 50 11]",3300138.0,"[45 29 49 27 36 31 35 51 19  8 26 56 20 22 48 53 39 47 30 14 50  5  4 16
 18 34 12 46 55  2 23 57 25 32 52 58 59 33 44 40 11  9 41 10 37 21 28  7
 17 15 42 24 38 43  6  0 54  1  3 13]",4060560.0,"[59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36
 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12
 11 10  9  3  0  1  2  6  7  4  8  5]",4443652.0,"[58 56 23 16  7 24 31 45  0 14 15 22 34 37 18 39 43  1 46  9 40 19 17 57
  4 30 44 28 13  3  2 26 38 27 32 49  6 51 10 41 59 50 25 36  5  8 48 12
 11 54 47 29 20 55 21 52 33 42 35 53]"
cqap_60_26,143,1737848,"[ 2  0  5 58 31 40 39 42  9 49 56  6 53  3 45 24 47 30 41 12 55 50 14 57
 23 15  4 59 29 20 16 51 46 13 48 44 36 22 19 35 18 32 54  8 28 34 27 43
 26 10 17 38  1 52 21 11 25  7 37 33]","['START', 'FW_LS', 'FW', 'OC', 'SA', 'FW_LSG', '2PO', 'FW_LSG', 'OC', 'SA', 'OC', 'FW_LSG']",0.0,"[ 2  0  5 58 31 40 39 42  9 49 56  6 53  3 45 24 47 30 41 12 55 50 14 57
 23 15  4 59 29 20 16 51 46 13 48 44 36 22 19 35 18 32 54  8 28 34 27 43
 26 10 17 38  1 52 21 11 25  7 37 33]",3346908.0,"[42 49  6 33 58 23 39 59 14  5 28 52 53 31 20 25 22 44 48 40 15  0 41 50
 18  2 57 32 24 16  3 45 10  9  8 12 34  1 27 26 17 51 29 11 54 43 38 19
 13  4 36  7 46 35 55 47 56 30 37 21]",4241376.0,"[59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36
 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12
 11 10  8  3  7  1  6  5  2  9  0  4]",4486758.0,"[ 7 10 54 13 29 22  1 28 26 55 12 34 56  8 35 33 20 40 16 46 50  0 44 45
 52 17 18  9  2 21 31 53 47 49 43 42 59 19  3 36 51 24 15 27 58 11 32 14
  6 25  4 57 39 38  5 30 37 41 48 23]"
cqap_60_34,146,1746652,"[ 9 40 28 24 27 44 36 51  8 10 43 55 25 52 42 32  0 23 53 38 45 11 22  3
  5  6 20  2 59 49 26 54 17 14 35 29  7 13 58 31 15  1 19  4 33 39 47 16
 30 57 50 34 41 46 56 48 21 18 12 37]","['START', '2O', 'FW', 'OC', 'SA', 'FW_LSG']",0.0,"[ 9 40 28 24 27 44 36 51  8 10 43 55 25 52 42 32  0 23 53 38 45 11 22  3
  5  6 20  2 59 49 26 54 17 14 35 29  7 13 58 31 15  1 19  4 33 39 47 16
 30 57 50 34 41 46 56 48 21 18 12 37]",3190636.0,"[11 55 30 18 37 22 25 24 20 44 46 57 39 43 31 51 56 34 27 17  3  9 59  8
 14 52  5 48  1 28 33 35 26 29 41 45 23  4  0 36 58 21 54 38 32 40 12 16
 50 19 47  2 15 13  7 53 49 42  6 10]",4311026.0,"[59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36
 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12
 11 10  8  2  4  7  6  0  1  3  5  9]",4582860.0,"[ 2 19  1 14 12 56  0  6 28 24 31 58  3 35 37 25  7 32 34 11 52  8 47 26
 30 38  4 29  9 53 20 55 51 50 23 10 59 33 36 18 43 27 21 42 57 54 17 40
 13 44 41 16 39 45 46 22 49 48 15  5]"
cqap_60_35,144,1723824,"[52 45 54 14 56  3 50 38 20 51 23 15 11 58  1 41 40  4 13 55 48 34 35 28
 53 44 31 39  5 24 46 57 10  0 47  7 27 29 12  9 17 19  6 42 25 43  8 36
 59  2 16 18 49 22 32 33 30 26 37 21]","['START', 'FW_LS', 'FW', 'OC', 'SA', 'FW_LSG', 'FW_LSG']",0.0,"[52 45 54 14 56  3 50 38 20 51 23 15 11 58  1 41 40  4 13 55 48 34 35 28
 53 44 31 39  5 24 46 57 10  0 47  7 27 29 12  9 17 19  6 42 25 43  8 36
 59  2 16 18 49 22 32 33 30 26 37 21]",3157194.0,"[12 42 46 44 53 58  9 52 39 11 28 21 55 49 41 54 31  1 24 29 33  5 20 15
 26  8 17 47 59 38 30  6 27 22 13 36 56  4  2  7 40 48 57 43 10 25 51 50
  0 18 23 32 34 14 45 19 35 16 37  3]",4014994.0,"[59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36
 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12
 11 10  7  1  2  8  6  9  0  5  4  3]",4610014.0,"[ 8 17 53 38 11 52 32 36 59 50 43 54 42 15  5  1 16 35 24 41 40 31 26 27
 58  7 20 10 46 33 39 49 13 25 48 37 14 30  3 47 56 55 19 21  2 44 28 22
  0 18 51 29 57 45 12  9  4  6 34 23]"
cqap_60_41,151,1707848,"[ 2 45 11 39  6 22 26 15 25  5 31 28 52 43 18 48 38 17 23 21 12 54 59 20
 35 47 41 56 53  3 37 57 32  8 30 50  1 58  4 33  9 55 46 14 27  0 44 13
 10 24 42 19  7 49 34 29 16 36 51 40]","['START', 'FW_LSG', 'OC', 'SA', 'FW_LS', 'FW_LS']",0.0,"[ 2 45 11 39  6 22 26 15 25  5 31 28 52 43 18 48 38 17 23 21 12 54 59 20
 35 47 41 56 53  3 37 57 32  8 30 50  1 58  4 33  9 55 46 14 27  0 44 13
 10 24 42 19  7 49 34 29 16 36 51 40]",3361598.0,"[37 15 36 57 50  4 38 48  9 54 14  7 44 45 20 30 32 23 59 39 51 42 21  5
 18  6 52  1 47 10 11 12 56 19 27 26 49 31 22 16 29 40 55  0  2 43 34 25
 41 35  3 33 58 53  8 17 24 13 46 28]",4049138.0,"[59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36
 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12
 11 10  7  8  3  0  1  4  5  9  6  2]",4315996.0,"[48 21 50 22 24 15 47 37 53 49 52 46 28 27 16  0 26 20 40 42 31 30 11 33
 41 29 19 35 17 55  3 51 43 25 45  5 23 18  6 38 56 39 59 54  9 57 32 14
  8  4 44 13 10  2  1 58 34 12 36  7]"
cqap_60_55,148,1724356,"[14 16 57 27 50 59 40 18 51  1 58  3 30 36 26  4 23  7 12 10 43 20 28 15
 33 44 39  9  0 19 53 42 54 11 55 46 32 35 37 47 17  8 29 25  2 41 31 22
 34 21 49 48 13 38  6 24 56  5 45 52]","['START', 'FW_LS', 'FW', 'OC', 'SA', 'FW_LSG', '2PO', 'FW_LSG']",0.0,"[14 16 57 27 50 59 40 18 51  1 58  3 30 36 26  4 23  7 12 10 43 20 28 15
 33 44 39  9  0 19 53 42 54 11 55 46 32 35 37 47 17  8 29 25  2 41 31 22
 34 21 49 48 13 38  6 24 56  5 45 52]",3166520.0,"[12 14 52 22  5 32 35 58 42 56 20  8 19 40 26 28  1 38  9 54 48 15 49  6
 57 59 24 11 53 46 25 27 34 30 23 43 31 41 50 16 39 18 47 10 51  2 45 55
  3 17 29 33  0 13 21  4 36 44  7 37]",4214408.0,"[59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36
 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12
 11 10  7  0  4  9  8  2  6  1  5  3]",4367864.0,"[36 33  4 29  3 26 25 35 55 15 59 27 40 37  0 49 18 20  2 43 46 50  6 52
 47 38 32  1 42 44 23 39 30  5 13 22 11 21  8 53 41 56 12  9 19 28 24 45
 51 17 31 16 58 57 14 34 54 10 48  7]"
cqap_60_58,143,1694110,"[26 45 53 43 39  8 48 12 58 16 15  0 47 23 49 32 37 57 34  4  3  1 29 31
 56 28 42 27 22  5 55 33 19  6  9 36 35 52 51  7 25 13 20 59 18  2 44 21
 10 50 30 17 54 38 11 41 14 24 40 46]","['START', 'FW_LSG', 'OC', 'SA', 'FW_LS', 'FW_LS']",0.0,"[26 45 53 43 39  8 48 12 58 16 15  0 47 23 49 32 37 57 34  4  3  1 29 31
 56 28 42 27 22  5 55 33 19  6  9 36 35 52 51  7 25 13 20 59 18  2 44 21
 10 50 30 17 54 38 11 41 14 24 40 46]",3216266.0,"[23 19 56 58 20 30 51 52  2 47 27 41  5 44  3 13 42  9 31 16 29 32 45 37
 33  7 35 43 28 38 46 25 10  1 55 14  8 24  4 18 21 49 17 50 22 59  6 54
 53 40 39 15 34 48 57 26 11  0 36 12]",4155646.0,"[59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36
 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12
 11 10  6  9  1  8  4  2  0  5  7  3]",4567402.0,"[19  8 40 46 14 50 20  6 54 26  4 18  1 17 28 58 13 33 37 59 11 53 36 23
 27 34 21 49 43  2 38 41 55 42 24 51 39 48  9  3 30 10 45  7  5 29 35  0
 57 32 56 47 15 16 25 44 52 12 31 22]"
cqap_60_66,141,1739752,"[36 43  1 46 47 16 55 50 21 14  8 42 51 45 30 13 38  6 58 48 57  7 53 19
 12  0 27 35 18 56 20 49 54 28 32 59 25 40 10  4 34 52  5 44 22 15 11 41
 17 31 23  9 24 39 29 26 37  2 33  3]","['START', '2O', 'FW', 'OC', 'SA', 'FW_LSG', '2PO', 'FW_LSG']",0.0,"[36 43  1 46 47 16 55 50 21 14  8 42 51 45 30 13 38  6 58 48 57  7 53 19
 12  0 27 35 18 56 20 49 54 28 32 59 25 40 10  4 34 52  5 44 22 15 11 41
 17 31 23  9 24 39 29 26 37  2 33  3]",3329128.0,"[ 0 59 57  8 49  7 19 20 24 16 25 31 29 55  5 34 35 46 39 36  1 45 58 27
 54  3 43 30  6 38 11  4 26 13 52 18 48 42 28 47  9 32 53 33 21 56 12 40
 37 22 17 15 14  2 50 23 44 51 10 41]",4247764.0,"[59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36
 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12
 11 10  5  9  8  2  1  3  7  0  6  4]",4675888.0,"[42 37 11  8  4 29 41 52 39 35 25 26 53 54 57 28 56 10 50 47 55 31 34 21
 44 12 20 40 15 18 32 30 19  9  3  7 16 46 48 51 27  0 14 45  6 13 23 38
  5 59 33  1 24 43 58 22 36  2 17 49]"
cqap_60_74,147,1731228,"[30 38 27 52 29 16 48 47 51 15 39 50  4  9 31  0 49 22 54 10 20  7 41 55
 43 24 19  6 11 58  1 40 44 33 59 53 57 28 14 23 21 13 46  5 12 25 42 34
 37  3  2 35 45  8 32 56 18 26 17 36]","['START', 'FW_LSG', 'OC', 'SA', 'FW_LS']",0.0,"[30 38 27 52 29 16 48 47 51 15 39 50  4  9 31  0 49 22 54 10 20  7 41 55
 43 24 19  6 11 58  1 40 44 33 59 53 57 28 14 23 21 13 46  5 12 25 42 34
 37  3  2 35 45  8 32 56 18 26 17 36]",3331544.0,"[57  8 35  7 34 41 20 12 21  3 58 54 42 44 29 13 26 31  0 16  2 55 15  9
 49 18 25 32 53 59 50  1 46 22 23 56 38 40 27 33 19 52 28 36 17 24 39 47
 11  4 48 14 10  6 51 43 45 37 30  5]",4109866.0,"[59 58 57 56 55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36
 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12
 11 10  6  0  2  3  5  1  8  7  4  9]",4526592.0,"[58 16 38 51 19 11 53 15 40 54 36 14 50 49 10 29 47 23  6 24 59 12 44 31
  1 52 56 34 20 32 28 25 26 42 55 37 45  2  9 21 48 33 35  5 18 43 39 13
 27 30  8  7 57 22 46  0  3 41 17  4]"
