instance,time_taken,optimal_cost,global_optimal_solution,rl_actions,rl_gap,rl_permutation,sa_gap,sa_permutation,bb_gap,bb_permutation,gurobi_gap,gurobi_permutation
pqap_15_2,23,35724,[ 8  3 14  9  4 12  1  0  6 11 10 13  5  2  7],"['START', 'FW_LS', '2O', 'OC', 'SA', 'FW_LSG', '2O']",0.0,[ 8  3 14  9  4 12  1  0  6 11 10 13  5  2  7],296.0,[ 8 10  5  3 13 11  7  2  0  1  4  6 14  9 12],556.0,[14 13 12 11 10  9  4  0  1  2  3  7  8  5  6],1644.0,[ 0 13  1  3  7  6 14  5  9 12  8 11  4 10  2]
pqap_15_5,26,32940,[ 6 11  9 10 12  0  5  4  1 13  3  8  2 14  7],"['START', '2PO', 'FW', 'FW', 'FW', 'OC', '3O', 'OC', 'SA', '2O', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",0.0,[ 6 11  9 10 12  0  5  4  1 13  3  8  2 14  7],336.0,[ 6  1 10 13 14  0  7  8 11  3  5  9  2  4 12],620.0,[14 13 12 11 10  8  7  3  4  6  5  0  9  2  1],2016.0,[11  9  1  0 13  7  4  2  8  3 12 14 10  6  5]
pqap_15_13,21,38720,[ 9 12 13 14  6 11  3  0  7 10  8  1  5  4  2],"['START', '2PO', 'OC', 'SA', 'FW_LSG', '2O', 'OC', '2O']",0.0,[ 9 12 13 14  6 11  3  0  7 10  8  1  5  4  2],188.0,[ 2 11  1  5  0  6 10 14  8  7  4  9 13  3 12],356.0,[14 13 12 11 10  9  1  0  7  4  8  6  5  2  3],4192.0,[ 7 14  1  5 11 13  2 12  9  0 10  6  4  8  3]
pqap_15_14,24,32224,[ 2  8  0  1  4  5  7  3  6 14 10 13 12 11  9],"['START', '2O', 'FW', 'OC', 'SA', 'FW_LS', '2O']",0.0,[ 2  8  0  1  4  5  7  3  6 14 10 13 12 11  9],260.0,[12  8  5  4  2  0 14  1  6  3 10  9  7 11 13],640.0,[14 13 12 11 10  8  7  9  6  4  2  3  0  1  5],1960.0,[ 6 11 12  8 14  1  9  7  5  4 10 13  3  0  2]
pqap_15_25,26,47304,[12  4 11  9  2 14  7  0 13  6  8 10  5  1  3],"['START', '2O', 'FW', 'OC', 'SA', 'OC', '2O']",0.0,[12  4 11  9  2 14  7  0 13  6  8 10  5  1  3],448.0,[ 8 13  3  7  2  5  9  1  4 10 12  6 11  0 14],932.0,[14 13 12 11 10  9  0  3  5  1  2  8  7  4  6],1656.0,[10  9  6 11 13  0  2 14  4 12  1  5  3  8  7]
pqap_15_33,23,20600,[ 6  5  7  4  8  9  2 11 14  3 13  0 10  1 12],"['START', '3PO', 'FW', 'FW', 'OC', 'OC', 'SA', 'SA', 'OC', 'OC', 'SA', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",0.0,[ 6  5  7  4  8  9  3 11 13  2 14  1 10  0 12],132.0,[ 6  5  2 14  3  7  9 11 13  8  0  1  4 10 12],304.0,[14 13 12 11 10  9  5  4  3  6  2  8  0  7  1],1800.0,[11 13  3  6  4 12 14  5  7  9  1  2  0 10  8]
pqap_15_34,28,38612,[10 13 12  6  0  2  5 11  8  9  4  7  3  1 14],"['START', '2O', 'FW', 'OC', 'SA', 'OC', 'OC', '2O']",0.0,[10  7 12  6  0  2  5 11  8  9  4 13  3  1 14],444.0,[ 5  1 14  0  3 10  8  4  7  6 11 13  9  2 12],956.0,[14 13 12 11 10  9  5  4  8  2  7  1  6  3  0],2760.0,[ 1  3 11 14  8  5  0 10  2  7  9 12  6  4 13]
pqap_15_39,21,30240,[ 5 13  4  1  2 10  7  3 14  9 11  8  0  6 12],"['START', '3PO', 'FW', 'FW', 'OC', 'SA', 'OC', 'SA', 'SA', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O', 'SA']",0.0,[ 5 13  4  1  2 10  7  3 14  9 11  8  0  6 12],268.0,[12  6  9 10 13  4  1 11  2  0  7  5  3  8 14],1708.0,[14 13 12 11 10  9  5  4  2  6  1  3  0  8  7],1744.0,[ 0  9  7  5 11  6  3 12  2  4 13 14 10  8  1]
pqap_15_56,28,31080,[13  4  1  3  8  0 14 11  7 10  2 12  9  5  6],"['START', '2O', 'FW', 'OC', 'SA', 'FW_LSG', 'FW_LSG', '2O', 'OC', 'OC', '2O', 'OC', 'OC', 'OC', 'OC', 'OC', 'OC', 'SA', '2O']",0.0,[13  4  1  3  8  0 14 11  7 10  2 12  9  5  6],316.0,[ 6  5 11  7 14 12  3  0  9  8 10 13  2  4  1],1176.0,[14 13 12 11 10  9  7  5  0  4  1  3  8  6  2],1416.0,[ 3 13 14  5  7 11  8 12  2 10  6  1  0  9  4]
pqap_15_61,24,44732,[11  8  1  2  0  6 13  3 12  7 14  5  9  4 10],"['START', '2O', 'FW', 'OC', 'SA', 'FW_LS', '2O']",0.0,[11  8  1  2  0  6 13  3 12  7 14  5  9  4 10],340.0,[ 5  9  3  1  4  8 10 14  6  7 11  0  2 13 12],676.0,[14 13 12 11 10  9  2  6  5  0  1  8  7  3  4],3260.0,[13 11 12 14  3  6  5  7  8  1  2  0  4  9 10]
